#{"t_start": 1749007907.105998, "env_id": "None"}
r,l,t,current_walls,walls_broken
35.0,8,0.900801,62,3
-20.0,7,0.901418,63,2
-5.0,11,0.902381,62,3
-120.0,6,0.903229,63,2
140.0,16,0.904636,61,4
30.0,9,0.90541,62,3
-10.0,6,0.905943,63,2
55.0,11,0.907203,63,2
-15.0,9,0.907985,63,2
-25.0,15,0.909253,62,3
75.0,29,0.911544,61,4
-15.0,6,0.912365,63,2
-15.0,6,0.913179,63,2
-15.0,15,0.9145,62,3
35.0,6,0.915087,62,3
-110.0,5,0.915853,63,2
90.0,6,0.916446,61,4
35.0,6,0.917016,62,3
45.0,6,0.917549,62,3
-10.0,5,0.918268,63,2
20.0,10,0.919113,62,3
-5.0,11,0.920135,62,3
70.0,24,0.922129,62,3
-5.0,5,0.922927,63,2
-10.0,9,0.923778,63,2
35.0,17,0.925164,63,2
40.0,7,0.925769,62,3
95.0,14,0.927269,62,3
305.0,27,0.929522,59,3
35.0,6,0.930071,62,3
25.0,8,0.930835,62,3
35.0,6,0.931945,62,3
35.0,8,0.932791,62,3
-10.0,5,0.933269,63,2
30.0,7,0.933907,62,3
475.0,13,0.935309,59,3
-30.0,10,0.936171,63,2
90.0,5,0.936697,61,4
-5.0,7,0.937317,63,2
-10.0,7,0.938277,63,2
-15.0,6,0.938938,63,2
80.0,9,0.939717,63,2
40.0,9,0.940498,62,3
-100.0,5,0.941317,63,2
-25.0,7,0.941974,63,2
-5.0,5,0.942437,63,2
25.0,7,0.943074,62,3
30.0,10,0.944274,62,3
20.0,22,0.946692,63,2
-15.0,6,0.94732,63,2
65.0,24,0.949547,62,3
-10.0,5,0.950403,63,2
15.0,10,0.951319,62,3
0.0,21,0.953017,63,2
35.0,7,0.953622,62,3
-5.0,5,0.95444,63,2
-110.0,5,0.954938,63,2
25.0,10,0.955797,62,3
-110.0,7,0.956432,63,2
-15.0,37,0.959699,62,3
-45.0,14,0.960876,63,2
-10.0,5,0.961349,63,2
5.0,30,0.963801,63,2
85.0,9,0.964891,63,2
0.0,11,0.965903,62,3
-15.0,6,0.966448,63,2
-15.0,7,0.967082,63,2
635.0,25,0.969595,59,2
-20.0,6,0.970161,63,2
60.0,13,0.97153,61,4
-60.0,20,0.973168,63,2
25.0,9,0.974962,62,3
-10.0,15,0.97625,62,3
155.0,11,0.97721,61,4
-10.0,5,0.977728,63,2
75.0,10,0.978918,63,2
-115.0,5,0.979434,63,2
-30.0,9,0.980212,63,2
-105.0,5,0.980691,63,2
15.0,11,0.981907,62,3
15.0,14,0.983109,62,3
-5.0,17,0.98451,62,3
80.0,7,0.985125,61,4
-20.0,7,0.986076,63,2
-20.0,25,0.988119,63,2
40.0,6,0.988683,62,3
345.0,20,0.99036,59,3
70.0,12,0.991723,61,4
100.0,13,0.993065,62,3
-10.0,16,0.994431,62,3
40.0,17,0.995803,63,2
55.0,18,0.997629,63,2
25.0,9,0.998413,62,3
-25.0,16,0.999707,62,3
35.0,6,1.000275,62,3
-5.0,8,1.001318,63,2
-110.0,5,1.001799,63,2
135.0,8,1.002507,62,3
-10.0,5,1.002973,63,2
300.0,7,1.003915,61,1
-15.0,5,1.004395,63,2
95.0,12,1.005393,62,3
-10.0,5,1.005853,63,2
100.0,14,1.007342,62,3
-60.0,14,1.008499,63,2
495.0,29,1.010853,57,5
40.0,6,1.011388,62,3
-10.0,5,1.01238,63,2
25.0,8,1.01311,62,3
-5.0,5,1.013674,63,2
-115.0,7,1.01462,63,2
-10.0,5,1.020234,63,2
30.0,8,1.02098,62,3
55.0,11,1.02192,63,2
95.0,5,1.022443,61,4
-30.0,9,1.024044,63,2
100.0,23,1.025938,61,4
-10.0,5,1.026426,63,2
95.0,6,1.027257,61,4
-5.0,12,1.028771,62,3
-15.0,8,1.029504,63,2
100.0,13,1.030869,62,3
345.0,20,1.032559,59,3
50.0,16,1.034452,63,2
40.0,7,1.035073,62,3
-115.0,9,1.035969,63,2
-25.0,10,1.037191,63,2
-25.0,9,1.038415,63,2
85.0,9,1.039241,63,2
-25.0,10,1.040097,63,2
35.0,6,1.040717,62,3
-20.0,6,1.041865,63,2
45.0,9,1.042702,62,3
75.0,9,1.043533,61,4
-10.0,5,1.044094,63,2
55.0,28,1.047167,62,3
165.0,11,1.048282,61,4
45.0,6,1.049845,62,3
25.0,10,1.050726,62,3
-125.0,10,1.052242,63,2
-20.0,8,1.053001,63,2
-10.0,5,1.053483,63,2
835.0,15,1.055759,56,3
-45.0,20,1.057932,62,3
95.0,6,1.058708,61,4
555.0,19,1.060592,59,3
30.0,6,1.061161,62,3
55.0,16,1.063031,63,2
385.0,12,1.064149,59,3
-45.0,11,1.065099,63,2
105.0,14,1.066247,62,3
-20.0,8,1.067321,63,2
30.0,6,1.067906,62,3
30.0,10,1.068761,62,3
-5.0,14,1.069939,62,3
-5.0,5,1.070789,63,2
-10.0,7,1.071455,63,2
40.0,8,1.072232,62,3
30.0,7,1.072865,62,3
-15.0,11,1.074125,62,3
15.0,10,1.075015,62,3
525.0,18,1.076559,58,3
5.0,11,1.07749,62,3
65.0,11,1.078793,63,2
-10.0,5,1.079504,63,2
-105.0,5,1.079988,63,2
-5.0,5,1.080456,63,2
0.0,25,1.083017,61,4
90.0,9,1.083791,63,2
-125.0,6,1.084333,63,2
-10.0,14,1.085502,62,3
25.0,8,1.086532,62,3
-110.0,7,1.087202,63,2
0.0,11,1.088164,62,3
-10.0,5,1.088663,63,2
25.0,8,1.089642,62,3
85.0,7,1.090283,61,4
80.0,9,1.091173,61,4
30.0,8,1.091903,62,3
95.0,22,1.094027,61,4
-100.0,5,1.0945,63,2
95.0,5,1.095,61,4
-10.0,7,1.095599,63,2
40.0,6,1.096788,62,3
30.0,8,1.097545,62,3
95.0,17,1.098949,62,3
35.0,7,1.099598,62,3
55.0,12,1.100979,63,2
30.0,9,1.101819,62,3
-110.0,5,1.102294,63,2
0.0,13,1.103389,62,3
65.0,11,1.104678,63,2
-10.0,11,1.105746,62,3
-110.0,5,1.106228,63,2
-10.0,5,1.106719,63,2
80.0,16,1.108428,62,3
35.0,8,1.109151,62,3
145.0,8,1.109853,62,3
-160.0,11,1.110814,63,2
465.0,14,1.112408,59,3
-120.0,7,1.11305,63,2
-15.0,5,1.113536,63,2
90.0,5,1.114528,61,4
-45.0,12,1.115927,63,2
-50.0,14,1.117121,63,2
-5.0,10,1.117978,63,2
-120.0,10,1.118845,63,2
95.0,5,1.119599,61,4
60.0,12,1.120625,61,4
170.0,13,1.121756,61,4
25.0,7,1.122447,62,3
640.0,34,1.125602,58,2
-35.0,15,1.126829,63,2
-5.0,11,1.127773,62,3
30.0,8,1.12848,62,3
-25.0,10,1.129692,63,2
90.0,6,1.130351,61,4
85.0,8,1.131075,63,2
30.0,10,1.131907,62,3
-125.0,7,1.132958,63,2
45.0,17,1.134344,63,2
-5.0,8,1.135291,63,2
680.0,28,1.137601,58,1
30.0,8,1.138625,62,3
75.0,10,1.139573,63,2
-15.0,15,1.140849,62,3
45.0,12,1.141852,63,2
-120.0,6,1.142657,63,2
90.0,5,1.143139,61,4
95.0,9,1.143935,63,2
-120.0,10,1.144786,63,2
-15.0,6,1.145621,63,2
-10.0,5,1.146101,63,2
-45.0,12,1.147094,63,2
45.0,8,1.147817,62,3
-10.0,5,1.148568,63,2
30.0,7,1.149202,62,3
60.0,24,1.151875,62,3
-45.0,12,1.15288,63,2
-15.0,14,1.154382,62,3
90.0,5,1.155308,61,4
20.0,8,1.156035,62,3
-5.0,5,1.156516,63,2
20.0,9,1.157657,62,3
-15.0,6,1.158237,63,2
-45.0,11,1.15918,63,2
-115.0,6,1.159742,63,2
-5.0,14,1.161468,62,3
-25.0,9,1.162287,63,2
60.0,15,1.163493,63,2
-15.0,5,1.163982,63,2
90.0,10,1.165181,61,4
190.0,10,1.166091,61,4
5.0,12,1.167148,62,3
-100.0,33,1.169783,62,3
30.0,7,1.170824,62,3
305.0,30,1.173293,59,3
35.0,7,1.173936,62,3
100.0,13,1.174999,62,3
-20.0,8,1.176246,63,2
110.0,13,1.177337,62,3
30.0,19,1.178972,63,2
-110.0,5,1.179447,63,2
40.0,6,1.180364,62,3
-160.0,12,1.18139,63,2
70.0,13,1.182444,63,2
-125.0,8,1.183146,63,2
85.0,17,1.184859,62,3
90.0,6,1.185447,61,4
-25.0,8,1.186161,63,2
0.0,13,1.187335,62,3
55.0,13,1.188746,61,4
-15.0,5,1.189257,63,2
95.0,7,1.18996,61,4
-5.0,37,1.192872,62,3
80.0,10,1.194085,63,2
0.0,13,1.195237,62,3
265.0,17,1.19669,61,1
-5.0,5,1.1974,63,2
-115.0,7,1.198328,63,2
145.0,8,1.199089,62,3
-15.0,8,1.199831,63,2
40.0,9,1.200621,62,3
40.0,19,1.202553,63,2
5.0,11,1.203526,62,3
-60.0,24,1.205509,62,3
65.0,11,1.20647,63,2
15.0,22,1.208671,63,2
-55.0,12,1.209679,63,2
-15.0,5,1.210146,63,2
30.0,7,1.210775,62,3
35.0,7,1.211768,62,3
-5.0,9,1.212575,63,2
70.0,18,1.214025,62,3
-5.0,5,1.214487,63,2
35.0,6,1.215383,62,3
75.0,9,1.216167,63,2
30.0,7,1.217051,62,3
340.0,17,1.218496,59,3
-55.0,26,1.220936,62,3
-10.0,5,1.22142,63,2
65.0,11,1.222454,61,4
-20.0,8,1.223174,63,2
-15.0,5,1.223973,63,2
-25.0,9,1.224783,63,2
40.0,6,1.225351,62,3
5.0,12,1.226356,62,3
-20.0,7,1.227318,63,2
480.0,13,1.228569,59,3
-100.0,5,1.229031,63,2
-105.0,5,1.229496,63,2
90.0,8,1.230508,61,4
110.0,21,1.232213,61,4
-55.0,11,1.233154,63,2
-110.0,5,1.233675,63,2
-115.0,5,1.234513,63,2
-110.0,5,1.235258,63,2
55.0,16,1.23659,63,2
-15.0,5,1.237065,63,2
685.0,24,1.239544,59,0
-65.0,19,1.241101,63,2
110.0,13,1.242178,62,3
65.0,14,1.243341,63,2
-10.0,5,1.244226,63,2
25.0,9,1.245055,62,3
35.0,7,1.245714,62,3
-40.0,13,1.247372,63,2
5.0,13,1.248785,62,3
-120.0,5,1.249295,63,2
40.0,8,1.250005,62,3
-115.0,6,1.250605,63,2
100.0,16,1.252264,62,3
-110.0,6,1.252831,63,2
0.0,12,1.253872,62,3
0.0,15,1.255085,62,3
35.0,8,1.256348,62,3
450.0,14,1.257628,59,3
40.0,7,1.258272,62,3
85.0,7,1.258895,61,4
-10.0,6,1.259732,63,2
-110.0,6,1.260273,63,2
-20.0,19,1.261817,62,3
-115.0,6,1.262378,63,2
-15.0,5,1.263143,63,2
-15.0,6,1.263702,63,2
-10.0,5,1.264199,63,2
-20.0,6,1.264737,63,2
95.0,5,1.265545,61,4
90.0,10,1.266489,61,4
40.0,17,1.267902,61,4
-110.0,5,1.268375,63,2
-25.0,10,1.269618,63,2
630.0,19,1.271258,58,1
-105.0,5,1.271714,63,2
130.0,10,1.272897,62,3
-10.0,18,1.274705,62,3
530.0,11,1.275718,58,3
-15.0,5,1.27619,63,2
60.0,25,1.27822,62,3
-15.0,10,1.27943,63,2
80.0,10,1.280276,63,2
540.0,12,1.28136,58,3
0.0,22,1.283258,63,2
0.0,7,1.284214,63,2
770.0,45,1.287847,57,2
-10.0,6,1.288382,63,2
-55.0,13,1.289624,63,2
35.0,8,1.290674,62,3
50.0,23,1.292516,62,3
-15.0,6,1.293124,63,2
-15.0,10,1.294007,63,2
80.0,9,1.295085,61,4
15.0,11,1.296019,62,3
-5.0,5,1.296735,63,2
60.0,13,1.297868,61,4
295.0,8,1.298882,61,1
125.0,22,1.300681,61,4
-5.0,13,1.301751,62,3
-110.0,6,1.302312,63,2
25.0,9,1.30342,62,3
45.0,19,1.304966,63,2
110.0,15,1.306263,62,3
-5.0,11,1.307214,62,3
